Transaction_Amount,Transaction_Hour,Account_Age_Days,Previous_Transactions,Failed_Transactions,Device_Trust_Score,Location_Change,International_Transaction,Transaction_Frequency,Fraud
89.1,19,1785,443,3,10.44,1,0,4,0
531.34,20,939,141,3,7.45,0,0,5,0
159.35,18,1890,308,1,50.7,1,0,5,0
48.13,3,192,444,1,88.47,0,0,4,0
221.68,7,1854,496,1,4.24,0,0,5,0
44.34,12,81,426,1,21.23,0,1,5,0
8.69,3,2776,475,3,69.33,0,0,10,0
24.33,8,1686,320,2,82.59,0,0,3,0
10.27,8,1305,245,2,80.74,0,0,3,0
46.92,21,2783,450,0,78.51,0,0,2,0
67.93,17,2326,290,1,12.98,0,0,3,0
356.54,11,1053,351,5,39.72,0,0,0,0
92.47,9,2635,87,0,98.47,0,1,6,1
53.57,10,824,199,2,98.89,0,0,4,0
152.84,6,1536,358,5,60.24,0,0,9,0
7.31,8,2204,448,1,70.93,0,0,6,1
84.4,5,2947,161,1,95.13,0,0,6,0
144.15,18,319,140,2,44.99,0,0,5,0
15.2,15,2575,493,1,13.69,0,0,5,0
209.3,14,2071,76,0,66.89,1,0,4,0
93.55,6,141,19,3,96.01,0,1,4,0
44.02,15,1887,393,0,69.72,0,0,7,0
125.56,4,2812,330,1,80.33,0,0,7,0
645.93,15,2496,401,2,42.27,0,0,1,0
79.99,0,2800,50,2,9.65,0,0,2,0
85.47,18,749,232,0,16.89,0,0,10,0
42.12,4,804,295,3,98.27,0,0,7,0
28.51,6,2320,425,2,49.32,0,1,5,1
152.98,18,2700,394,0,1.2,0,0,5,0
28.33,21,267,12,3,95.54,0,0,8,0
71.63,4,1267,335,3,49.78,0,0,7,0
41.36,16,2466,479,2,83.63,0,0,4,0
107.66,21,1861,15,4,54.85,1,1,7,0
93.1,7,984,28,1,10.17,0,0,5,0
188.21,0,1057,388,2,61.56,0,1,4,0
40.04,1,280,292,3,99.74,0,0,5,0
50.91,14,1128,375,2,3.47,0,1,4,0
25.06,19,151,321,4,84.18,0,0,5,0
42.76,17,911,250,1,23.55,0,0,6,0
97.25,10,283,492,1,39.39,0,1,4,0
142.17,9,2333,98,5,37.27,0,1,6,0
26.52,23,474,303,3,89.88,0,0,9,0
159.11,23,1241,337,2,50.45,0,0,4,0
258.69,3,1329,39,5,44.72,0,0,6,0
100.83,4,297,38,4,81.8,1,0,2,0
435.63,3,885,300,4,4.89,0,0,8,0
30.76,12,2002,179,5,8.65,0,0,2,0
19.21,12,2935,97,3,2.17,1,0,3,0
11.26,17,2237,380,3,68.8,0,0,4,0
297.69,23,1130,469,1,52.56,0,0,5,0
128.3,1,1224,282,5,87.6,0,1,7,0
63.08,15,456,238,8,49.85,1,0,4,0
88.23,0,2842,164,0,22.18,0,0,11,1
21.64,18,2618,453,2,80.51,0,1,2,0
769.51,8,2541,97,0,29.43,1,0,6,0
75.89,2,2906,257,0,93.57,0,0,3,0
74.4,6,731,309,2,25.04,0,0,3,0
137.79,9,2173,262,0,16.77,1,0,5,0
107.88,0,2592,293,2,49.33,0,0,5,0
83.42,9,1361,258,2,5.05,0,0,7,1
30.25,20,416,249,3,3.64,1,1,6,0
106.85,8,1735,245,1,49.6,0,0,4,0
437.91,14,703,251,1,21.51,0,0,3,0
256.06,14,504,123,0,0.94,0,0,7,0
328.06,2,957,325,4,29.61,0,0,3,0
40.0,4,32,474,1,47.74,0,0,3,0
24.79,8,1138,169,1,39.43,0,0,4,0
58.8,21,1708,435,2,13.55,0,1,5,1
70.51,8,567,175,0,57.97,0,0,5,0
199.18,22,1626,269,2,71.03,0,0,8,0
12.27,6,950,204,2,67.55,0,0,10,0
307.83,23,1255,325,2,39.38,1,0,6,0
56.94,22,2912,66,0,13.76,0,0,7,1
43.52,11,2948,315,4,49.95,0,0,5,0
24.24,8,1666,324,5,89.04,0,1,5,0
12.75,5,87,59,2,46.87,0,0,2,0
151.89,22,1355,219,1,19.57,0,0,1,0
71.76,1,816,498,1,9.31,0,0,5,0
18.36,8,1051,373,2,94.39,0,0,4,0
18.26,16,777,266,1,74.3,0,0,0,0
47.67,0,463,141,2,31.3,0,1,4,0
353.9,18,2985,236,3,29.54,0,1,5,0
51.44,5,2334,386,2,89.52,0,1,6,0
14.83,4,1457,218,2,17.76,0,0,4,0
52.16,1,1509,15,1,53.5,0,0,7,0
50.77,8,1060,302,5,71.35,0,1,3,0
4.5,13,2571,441,0,39.64,0,0,4,0
63.16,3,1898,138,3,3.99,0,0,4,0
52.94,3,2521,406,0,22.78,0,0,8,0
133.78,20,2864,232,2,90.18,0,1,3,0
423.67,14,2881,89,3,52.31,0,0,5,1
205.73,7,372,463,2,81.54,0,0,7,0
50.96,3,2808,77,2,55.57,0,1,5,0
22.05,15,534,136,2,94.36,0,0,5,0
874.24,20,1227,405,3,90.91,0,0,6,0
70.75,3,1495,469,2,48.29,0,0,4,0
67.62,15,2113,406,0,31.83,0,0,5,0
65.1,21,1263,110,1,60.17,0,0,8,0
81.3,11,2546,353,4,67.49,0,0,5,0
57.72,15,1865,301,2,49.84,0,0,2,0
37.57,18,731,91,2,82.23,0,0,7,0
38.6,7,1993,424,1,18.33,0,1,3,0
64.54,5,1217,370,1,33.44,0,0,4,1
38.73,9,1458,406,2,68.64,0,1,4,0
32.69,4,1408,414,1,24.67,0,0,3,0
74.18,17,2098,190,1,43.98,1,0,7,0
51.68,9,1517,73,3,96.37,0,0,5,0
300.06,9,1013,173,3,62.59,1,0,1,0
4.71,6,2317,35,1,94.91,0,0,3,0
198.64,17,2498,210,3,72.24,0,0,5,0
231.85,0,935,298,3,72.47,0,1,7,1
8.39,6,865,133,2,59.19,0,0,6,0
47.34,20,93,283,1,14.22,0,1,1,0
46.0,0,2103,198,3,51.97,0,0,2,0
16.32,14,2497,446,2,25.27,0,0,2,1
30.64,3,1552,32,2,99.87,0,0,4,0
21.96,19,995,136,2,26.7,0,0,4,0
384.63,9,1878,248,3,23.07,0,0,12,0
169.98,22,145,359,1,62.39,0,0,3,0
237.83,8,1216,341,3,51.09,1,0,4,0
137.23,1,1742,146,1,2.14,0,0,9,0
21.56,13,1205,334,5,12.95,0,1,6,0
39.47,15,918,143,2,81.1,0,0,4,0
108.79,0,2918,234,1,48.37,0,0,5,0
19.65,1,2845,410,2,14.6,0,0,0,1
136.05,6,599,437,2,46.52,0,1,9,0
52.44,9,1961,44,1,25.31,1,0,4,1
45.84,21,965,32,0,22.36,0,0,3,0
135.77,19,2747,231,2,95.77,0,0,4,0
103.99,0,2596,28,3,36.2,0,0,9,0
46.48,12,1153,423,1,4.64,0,0,6,0
212.58,0,1341,491,2,97.03,0,0,5,0
22.62,4,2765,160,4,79.48,0,0,4,0
123.46,15,1563,333,2,25.44,0,0,5,0
120.68,14,2352,207,2,40.89,0,0,5,0
48.93,16,1816,18,2,86.23,0,0,6,0
92.4,22,2110,103,2,35.74,1,0,3,0
19.08,15,815,70,3,56.74,0,0,4,0
168.01,12,1465,119,2,53.49,0,0,1,0
55.43,10,61,139,1,40.13,0,0,2,0
39.54,16,2785,160,2,63.95,0,0,4,0
190.38,16,81,232,2,47.33,1,0,4,0
32.97,1,37,148,1,2.12,0,0,6,0
16.31,12,478,353,2,81.44,1,0,3,0
14.06,13,773,424,0,11.32,0,0,6,0
122.24,10,2943,392,4,46.41,0,0,5,0
18.53,9,2969,243,3,57.99,0,0,0,0
385.6,2,2604,35,2,70.55,1,1,3,0
8.32,16,1434,325,5,41.08,0,0,3,0
363.75,14,2258,382,4,73.55,1,0,8,0
82.35,8,829,355,2,13.14,0,0,5,0
60.54,9,1499,239,1,65.34,0,1,6,0
38.67,7,1685,334,0,82.63,0,1,5,0
99.4,20,569,149,0,88.94,0,0,2,0
64.22,12,388,111,2,57.96,0,0,7,0
201.0,17,1928,408,0,31.29,0,0,4,0
74.76,4,1085,17,4,16.34,0,0,6,0
77.5,5,88,402,1,34.56,0,0,6,0
46.36,16,1418,226,2,54.0,0,0,6,0
62.99,10,843,140,3,19.63,0,0,6,0
90.72,19,1041,144,2,95.25,0,0,5,0
12.06,15,2082,260,5,89.71,0,0,5,0
17.32,8,459,217,1,3.3,0,0,7,0
140.23,1,2825,162,0,56.2,0,1,5,0
79.11,4,2812,92,3,78.93,0,0,7,0
55.48,0,2002,174,2,24.54,0,0,5,0
67.93,3,1494,331,3,52.39,0,1,7,0
94.4,3,2255,205,2,40.6,0,0,7,0
38.87,21,1752,415,0,19.65,0,0,4,0
30.62,2,1980,153,2,61.47,0,0,7,0
81.11,8,2494,103,1,99.37,0,0,3,0
25.07,21,1560,202,3,36.53,0,0,5,0
100.31,22,699,280,3,55.24,0,1,11,0
12.15,11,2000,65,1,32.79,1,0,4,0
186.64,9,1411,117,0,87.69,0,0,4,0
106.98,1,596,153,3,86.46,0,1,6,0
86.14,10,2161,156,1,17.88,0,0,4,0
178.16,9,1839,164,6,89.99,0,0,5,0
352.65,21,1995,82,2,15.15,0,0,7,0
183.9,5,636,6,1,9.54,0,0,4,1
10.58,17,2041,322,2,65.29,0,0,3,0
18.55,1,2515,67,2,38.59,0,0,7,0
35.7,1,373,238,0,53.07,1,0,2,0
68.45,9,2192,72,3,65.26,1,0,1,0
111.91,15,383,95,1,5.28,0,1,2,0
32.27,11,2096,304,2,29.3,0,0,3,0
80.38,0,1997,467,2,46.09,0,0,2,0
31.33,20,2876,498,3,26.66,0,0,8,0
36.18,7,2104,326,1,4.9,0,1,2,0
16.34,15,2093,78,1,8.67,0,0,7,0
26.49,17,2152,67,2,80.17,0,0,2,0
17.26,12,1394,176,1,91.14,0,1,5,0
25.13,14,1558,321,3,15.22,0,1,4,0
191.26,20,1179,172,1,24.93,0,0,3,0
25.81,11,1950,478,4,65.22,1,0,0,0
927.4,7,377,255,0,95.43,1,1,2,0
109.21,9,74,63,2,29.96,0,1,4,0
80.23,13,763,302,5,85.52,0,0,6,0
28.27,4,1553,403,3,50.6,0,0,5,0
134.33,17,2045,246,3,95.66,0,0,5,0
37.5,18,2873,192,2,13.63,1,0,3,0
75.34,14,1886,467,4,97.37,0,0,5,0
862.72,5,1588,329,3,44.1,0,0,5,0
60.58,10,765,71,0,95.29,0,0,8,0
210.46,20,2238,366,1,45.87,0,0,4,0
33.01,10,1534,229,6,53.01,0,0,4,0
64.39,19,606,434,4,80.48,1,0,4,0
391.82,19,2844,63,5,72.26,0,0,7,0
35.62,20,2684,297,3,61.96,0,0,8,1
408.48,17,1844,245,3,41.7,1,1,10,0
135.33,17,2673,7,0,79.24,0,0,6,0
38.0,9,1405,393,2,94.82,1,0,3,1
125.51,1,1596,260,2,0.98,0,0,5,1
176.36,8,121,89,3,58.78,1,0,4,0
124.19,13,462,177,1,86.6,0,0,2,0
13.87,18,2813,204,5,65.31,1,0,4,0
32.23,9,2641,134,7,80.08,0,0,2,0
52.06,22,2196,82,3,89.51,0,0,6,0
61.9,3,1881,488,2,75.1,0,0,6,0
124.05,5,2288,21,4,71.7,0,0,4,0
79.65,13,1272,399,1,96.47,0,0,3,0
17.54,3,262,128,0,86.37,1,1,6,0
97.53,14,2014,195,2,81.54,0,0,7,0
122.8,15,1469,194,2,8.64,0,0,8,0
116.72,6,1952,184,0,23.9,0,1,2,0
196.52,16,2618,247,2,55.68,0,0,4,0
153.53,18,1336,361,0,70.96,0,0,1,0
105.55,18,2129,360,1,30.32,1,1,3,0
62.17,16,1867,324,0,9.33,0,0,5,0
12.67,5,2279,160,2,31.11,0,0,5,0
102.47,10,1110,194,1,77.1,0,1,6,1
82.08,15,71,110,1,87.74,0,0,4,0
87.49,7,1504,413,0,91.29,0,0,5,0
18.6,10,1190,66,0,37.89,0,1,5,0
22.62,6,815,418,1,37.25,0,0,7,0
191.17,23,2182,254,0,40.67,0,0,2,0
64.1,21,2798,283,7,37.58,1,0,6,0
131.83,18,1885,60,1,66.62,0,0,4,0
68.6,9,2218,118,4,35.83,0,0,4,0
68.7,8,550,423,2,2.03,0,0,3,0
170.42,3,635,44,4,43.9,0,0,4,0
39.8,22,1624,486,2,22.42,0,0,11,0
73.41,14,115,210,2,2.88,0,0,3,0
42.0,12,1164,36,2,47.08,1,0,2,0
43.19,1,1718,19,4,20.6,1,1,5,0
48.95,1,2833,91,1,45.27,0,0,2,0
83.27,15,1918,301,2,27.77,0,0,5,0
41.32,8,2059,212,3,60.37,0,1,9,0
234.1,12,2290,405,5,99.09,1,0,7,0
27.26,2,378,407,1,54.72,0,0,6,0
55.32,8,1284,222,2,64.69,0,0,11,0
42.96,12,955,217,0,91.93,0,0,2,0
283.43,20,2237,223,3,37.4,0,0,7,0
81.17,21,302,411,3,16.65,0,0,6,0
187.14,1,593,98,0,28.28,0,0,5,1
15.1,7,2852,456,1,40.28,0,0,4,0
87.1,8,2232,19,0,64.5,0,0,7,0
162.33,15,2180,297,0,0.46,0,0,5,0
72.41,1,2284,26,1,85.34,0,0,4,1
193.54,5,2501,28,3,7.61,1,0,3,0
39.75,21,2485,64,2,90.07,0,1,7,0
272.97,7,774,324,5,94.94,0,0,9,0
664.41,4,2689,223,2,99.01,0,0,2,0
46.39,8,2122,80,2,80.95,1,0,7,0
42.71,0,1314,51,2,14.19,0,0,3,1
285.26,8,1424,458,1,70.62,1,0,6,0
323.62,9,437,102,2,20.33,0,0,6,0
39.53,22,2675,176,1,89.71,0,0,3,0
43.81,3,2982,10,0,31.66,1,0,11,0
50.31,2,2024,237,4,32.68,0,0,6,0
17.38,9,2869,457,1,91.77,0,1,6,0
26.61,14,116,423,3,1.32,0,0,4,1
24.43,10,668,100,1,19.4,0,0,4,0
30.94,13,1192,499,2,42.19,0,0,5,0
64.41,5,2322,378,2,70.07,0,0,4,0
84.29,11,1235,228,1,64.76,0,0,7,0
314.35,12,164,403,2,66.94,0,0,6,0
24.57,16,905,64,0,88.0,0,0,11,0
178.45,15,1531,380,2,12.1,1,0,1,0
53.84,2,1630,19,1,52.22,0,0,4,0
63.47,1,1002,332,1,72.55,1,0,8,0
130.95,10,2302,318,0,63.61,0,0,1,0
21.7,8,1333,141,3,44.83,0,0,3,0
97.75,2,1395,25,1,1.71,0,1,17,1
78.76,17,2443,228,2,6.05,0,0,5,0
109.12,19,2816,89,1,11.89,0,0,5,0
89.05,14,2471,92,5,34.32,0,1,10,0
776.89,13,1311,42,1,11.77,0,0,5,0
35.24,1,2772,373,4,42.61,0,0,6,0
39.21,16,768,295,1,17.86,0,0,2,0
35.76,21,756,414,0,77.92,0,0,3,0
38.26,7,602,389,3,87.15,0,0,3,0
35.26,9,1558,81,3,38.96,0,0,10,0
218.99,17,2896,402,2,51.13,0,0,5,0
276.03,18,25,107,3,95.35,1,1,6,1
37.68,7,1002,111,2,53.55,1,0,5,0
29.01,7,1078,277,2,99.51,0,0,1,0
106.85,2,1354,214,1,14.21,0,0,2,0
38.39,2,2708,231,2,86.22,0,0,6,0
125.58,11,2205,306,3,49.72,0,0,10,0
81.69,21,2412,121,1,2.27,1,0,5,0
14.65,16,712,134,2,97.22,0,0,6,0
313.41,3,622,306,2,96.5,0,0,3,0
401.77,16,114,208,2,38.33,0,1,3,0
36.13,13,1507,450,2,95.41,0,1,2,0
45.25,18,405,371,1,14.1,0,0,2,0
88.75,8,2663,257,2,68.01,0,0,3,0
93.17,20,2020,185,0,19.19,0,0,8,0
128.84,11,860,286,3,24.66,0,1,9,0
497.8,4,1998,442,3,77.93,0,0,3,0
55.87,10,451,363,1,37.74,0,0,4,1
30.02,19,1678,180,3,0.71,0,0,8,0
16.79,2,882,421,6,41.42,0,0,6,0
32.11,20,676,48,4,22.81,0,1,7,0
64.51,14,1061,87,1,68.33,0,0,6,0
401.24,13,2851,385,1,19.44,0,0,4,0
39.74,10,2532,19,0,84.23,0,0,3,0
83.41,19,637,46,0,26.71,0,0,6,0
65.6,7,1438,451,2,39.3,0,0,6,0
218.85,3,2559,386,1,29.8,0,1,6,0
834.58,11,357,56,2,64.39,0,1,5,0
39.22,7,1273,229,5,10.12,0,1,7,0
40.88,5,1027,145,5,47.81,0,0,4,0
189.46,14,579,92,2,33.45,0,0,8,0
131.88,11,2752,82,3,88.41,0,0,1,0
422.72,15,2083,225,2,7.34,0,0,8,0
119.57,15,1962,79,2,82.97,0,0,8,0
46.56,20,2274,150,0,16.77,0,0,8,0
120.38,19,1361,361,2,8.86,0,1,3,1
202.09,19,2894,283,1,20.23,0,0,5,0
151.48,3,2831,311,4,10.27,0,0,3,0
110.75,10,679,485,0,52.1,0,0,3,0
193.77,12,727,160,4,98.82,0,1,11,0
214.71,8,2367,316,6,3.43,0,1,4,0
265.64,3,2656,365,3,46.11,0,0,5,0
127.58,11,276,467,2,38.61,0,0,4,0
56.42,8,1448,156,2,33.96,0,0,5,0
77.22,12,2703,156,1,33.19,0,0,8,0
222.85,15,1366,376,2,89.5,0,1,3,0
29.46,5,1032,202,2,1.9,0,0,7,0
96.42,9,2047,468,2,77.49,0,0,3,1
45.0,12,2507,409,2,25.29,0,0,2,0
68.63,6,574,341,3,38.33,0,0,5,0
239.48,18,1280,462,2,42.01,1,0,3,0
80.73,23,1069,342,1,30.47,1,1,8,0
69.86,18,1434,117,2,9.36,0,0,4,0
17.12,16,37,154,2,11.43,0,0,4,0
140.65,12,229,364,3,29.81,0,0,8,0
127.16,12,415,331,2,82.18,0,1,2,0
580.13,20,1647,119,3,13.46,0,0,8,1
49.02,1,1808,199,1,74.26,0,0,9,0
83.03,9,2328,401,3,28.89,0,0,3,0
85.57,21,1769,466,3,88.35,0,0,6,0
322.94,12,1684,263,4,42.83,0,0,5,0
60.62,8,801,184,3,17.17,0,0,7,0
88.15,0,972,448,2,98.58,0,0,4,0
122.47,13,1319,148,1,17.66,0,0,3,0
80.37,15,843,166,5,56.76,1,1,5,0
42.67,19,326,75,0,56.93,0,0,6,0
80.97,14,1330,236,0,37.28,0,0,5,0
195.12,0,2395,314,3,95.15,0,0,4,0
23.89,16,1340,272,4,84.39,0,0,4,0
76.17,23,360,179,2,82.98,0,0,6,0
33.11,12,520,283,5,97.42,0,0,1,0
220.31,14,2582,51,1,45.71,0,0,3,0
14.54,15,501,75,0,9.72,1,0,8,0
38.13,15,1941,144,3,76.55,1,1,3,0
97.24,1,1627,343,2,38.08,0,1,4,0
319.11,16,2066,188,2,19.03,1,0,4,0
62.44,10,1530,123,1,48.32,0,1,7,0
38.28,7,1593,332,2,92.57,0,0,12,0
437.54,19,2618,251,2,17.14,0,0,2,0
15.67,2,2497,296,5,84.87,0,0,6,0
7.4,11,1585,323,3,41.82,0,1,8,0
103.55,19,2849,130,0,13.68,1,0,2,1
40.36,15,1771,252,4,84.84,0,0,2,0
24.02,13,2001,358,1,96.96,1,0,6,0
135.42,15,1278,432,5,29.13,0,0,1,0
85.1,20,2090,180,1,30.35,0,0,5,0
37.94,16,1056,408,5,39.05,0,0,5,0
18.54,10,2902,349,1,81.41,1,0,4,0
159.57,16,2623,495,1,1.04,0,0,3,1
127.77,18,58,110,3,22.4,0,0,4,0
60.39,21,471,482,1,70.59,0,0,6,0
422.69,0,2647,468,1,40.56,0,0,7,0
22.87,11,345,338,2,33.03,0,0,3,0
14.5,14,1391,78,3,87.23,0,0,6,0
33.38,17,1155,466,1,91.73,0,0,4,0
63.71,22,368,2,4,94.8,0,0,5,0
85.06,13,2403,321,0,27.26,0,1,8,0
52.39,0,202,276,2,91.25,0,0,8,0
94.83,12,1449,290,1,73.7,1,0,10,0
19.08,14,1410,297,2,15.42,0,1,8,0
282.52,6,765,169,2,61.03,0,0,7,0
61.43,14,1694,240,2,2.63,0,0,4,1
203.83,19,2535,459,3,70.84,1,1,2,1
93.95,9,837,475,3,73.36,0,0,5,0
105.29,13,899,23,3,78.93,0,0,10,0
117.89,5,662,294,2,17.25,1,0,6,1
104.35,13,2465,172,4,62.82,0,0,7,0
126.81,23,2343,323,3,17.89,0,0,3,1
251.93,21,1931,318,6,94.67,0,0,10,0
81.17,11,860,396,3,67.5,0,0,6,0
135.5,10,120,286,1,9.53,0,1,3,0
60.96,19,629,479,2,18.7,0,0,7,0
281.5,21,802,343,7,66.35,0,1,3,0
33.91,23,2107,193,2,47.67,0,0,7,0
403.81,18,1167,169,1,73.63,0,0,6,0
64.06,1,597,404,5,28.08,0,1,2,0
15.95,21,2653,118,3,65.79,0,0,7,0
75.8,19,2727,6,5,17.7,0,0,4,0
33.75,0,1319,331,2,54.37,0,0,0,0
154.57,7,1967,483,0,95.78,0,0,4,0
34.72,13,2371,132,0,62.82,0,0,6,0
42.68,8,2663,93,1,5.0,1,0,9,0
10.08,1,306,251,2,98.88,0,1,2,0
42.42,22,1639,10,3,15.69,0,0,8,0
5.91,4,578,51,2,71.81,0,0,2,0
13.68,22,1197,349,2,53.25,0,0,8,0
142.65,7,841,294,3,29.44,0,0,6,0
146.32,15,619,129,1,17.73,0,1,5,0
102.05,21,25,488,7,17.77,0,1,5,0
25.36,15,1379,392,2,85.84,1,0,2,0
63.58,12,81,249,6,87.29,0,0,7,0
66.45,19,279,102,1,46.51,0,1,3,1
20.94,14,296,337,0,10.36,0,0,6,0
299.88,0,75,83,1,88.42,0,0,4,0
160.35,21,889,191,6,48.7,0,0,2,0
53.47,2,77,417,2,43.88,0,1,3,0
68.5,5,1226,143,2,40.74,0,0,5,0
82.14,21,1412,237,1,36.5,0,0,9,0
8.66,13,983,287,1,52.6,0,0,5,0
52.08,3,517,277,1,60.45,0,0,6,0
33.72,17,2894,387,1,46.64,0,1,7,0
24.49,14,1135,382,2,89.66,0,0,4,0
50.35,8,895,450,2,31.77,0,0,10,1
402.5,17,2851,291,2,57.83,0,0,5,0
126.58,2,2479,169,0,30.0,0,0,10,0
37.67,9,1997,443,1,75.34,0,0,7,0
118.22,16,784,144,4,10.21,0,0,2,0
270.25,6,2535,184,5,18.87,1,0,3,1
168.11,14,935,45,2,80.12,0,0,5,0
70.78,0,129,243,4,18.32,0,1,2,0
34.92,10,1948,315,0,62.57,0,1,1,0
134.05,16,497,434,3,97.02,0,0,3,0
98.84,4,2135,469,6,52.29,0,0,7,0
163.24,6,450,268,0,18.74,0,0,8,0
125.86,18,471,476,6,32.07,0,0,9,0
190.48,23,621,253,2,82.35,0,0,4,0
39.05,14,1327,396,3,35.17,0,0,0,0
248.99,2,1669,289,3,72.35,0,1,5,1
81.26,14,926,212,0,77.74,0,0,2,0
531.26,4,2666,488,1,50.12,0,1,7,0
33.48,22,15,177,1,78.32,1,0,4,0
378.4,11,690,21,1,31.69,0,0,2,0
81.28,19,2952,316,2,51.62,0,0,3,0
34.76,4,2328,52,6,68.66,0,0,5,0
41.1,2,1653,438,2,16.81,0,1,5,0
48.41,8,2868,423,3,27.36,0,1,4,0
101.92,8,2616,233,2,65.2,0,1,6,0
112.49,6,108,433,7,65.54,0,0,8,0
37.57,1,535,123,3,49.33,1,0,5,0
65.08,22,2251,362,1,79.56,0,0,7,0
568.08,22,1190,448,2,48.21,1,1,1,0
375.23,20,1699,100,2,88.13,0,0,5,0
103.16,15,1148,214,2,73.59,1,0,2,0
69.27,8,405,410,1,31.47,0,0,4,0
75.19,12,779,327,1,39.53,1,1,5,1
123.16,18,1836,135,1,66.77,0,0,4,0
23.98,19,1555,456,1,89.45,0,0,5,0
51.55,16,2937,318,2,17.87,0,0,4,0
12.57,5,2802,218,2,51.47,0,1,5,0
99.41,3,692,88,2,11.88,0,0,8,0
127.38,0,1566,280,0,27.95,0,0,3,0
41.13,17,24,40,2,68.6,0,0,5,0
321.82,18,2425,240,5,7.77,1,1,9,0
19.57,8,2695,332,2,66.24,0,1,8,1
15.42,12,2910,431,2,90.08,1,1,8,0
83.47,7,1246,136,2,96.94,1,0,2,0
190.01,22,2757,182,2,21.66,0,0,10,0
359.22,12,14,265,2,74.89,0,1,1,1
42.14,14,2288,259,4,92.64,0,1,0,0
196.11,10,1918,182,4,9.14,0,0,5,0
64.17,11,1435,21,3,41.4,0,0,1,0
56.11,13,1617,351,2,91.94,0,0,6,0
161.36,3,2643,432,1,20.28,0,0,6,0
128.04,0,178,431,1,93.38,0,0,1,0
13.79,23,2818,472,2,52.72,0,0,7,0
291.94,3,801,196,3,9.99,0,0,5,0
265.1,18,1009,212,2,44.99,1,1,5,0
35.67,8,161,447,2,32.63,0,0,6,0
99.07,9,2281,16,2,28.22,0,0,2,0
109.29,3,513,202,4,54.15,0,0,2,0
86.55,19,1583,363,4,48.36,0,0,4,0
38.46,8,2101,218,4,48.2,0,0,9,0
34.07,12,2754,93,4,8.81,0,0,5,0
65.0,11,513,133,1,80.23,0,0,4,0
215.45,10,2987,139,1,48.14,1,1,6,1
114.85,11,852,157,0,82.09,1,0,5,0
46.03,17,360,493,1,82.46,0,0,10,0
144.27,11,2080,335,2,31.71,0,1,6,0
3.86,15,1669,70,4,0.43,0,0,11,0
210.35,4,607,304,2,91.12,0,1,7,0
11.71,19,1076,15,2,76.07,0,0,1,0
46.41,11,2523,235,4,10.73,0,0,7,0
21.77,20,49,212,1,70.17,0,0,3,0
18.27,10,2360,290,1,2.0,1,0,3,0
212.9,8,184,60,3,2.78,0,0,2,0
41.78,17,1008,252,1,52.58,0,0,5,0
94.3,2,1494,446,2,9.6,0,0,6,1
63.63,19,2678,2,1,96.43,0,1,3,0
107.45,16,1226,236,0,89.38,1,1,9,0
72.01,13,2301,336,4,64.98,1,0,2,0
18.49,0,845,19,1,6.37,0,0,3,0
180.6,16,2337,482,2,32.48,0,0,3,0
40.7,7,1069,49,0,37.17,0,0,4,0
14.06,4,2614,78,1,48.09,0,1,5,0
43.46,4,907,472,1,16.89,1,0,3,0
299.09,8,1573,28,0,57.75,0,0,5,1
156.06,2,1056,48,0,43.58,0,0,4,0
47.06,18,2776,96,4,94.73,0,0,5,0
47.03,22,941,165,1,93.62,0,1,3,0
48.35,8,2148,458,0,56.55,0,0,4,0
532.06,21,2447,433,0,64.43,0,0,7,0
97.7,17,2607,365,4,13.78,0,0,7,0
102.52,15,2988,176,4,22.33,0,0,4,0
186.85,0,1261,73,2,90.07,0,0,4,0
84.67,1,1235,472,2,69.92,1,1,7,0
51.47,13,1383,356,1,18.94,0,0,7,0
54.8,13,1071,29,1,57.02,0,0,5,0
62.08,0,2790,444,1,93.48,0,0,3,0
64.25,15,509,157,5,34.52,1,0,2,0
138.05,14,1732,314,0,18.58,0,1,4,0
70.24,14,2928,304,5,94.2,0,0,1,0
138.75,11,2574,279,1,46.13,0,0,6,0
61.52,15,2125,283,1,41.72,0,0,5,0
72.14,13,1773,479,0,26.76,0,0,8,0
9.04,23,2180,491,1,89.16,0,1,10,0
166.72,14,1718,7,2,84.56,1,0,4,0
94.3,22,345,305,2,40.3,0,0,5,0
180.91,14,1186,182,0,3.06,0,0,3,0
3.68,18,788,109,3,44.67,0,0,5,0
538.28,7,1195,324,3,18.09,0,0,4,0
58.0,1,1943,206,3,14.27,0,1,6,1
201.98,1,1476,234,1,39.31,0,0,8,0
23.57,9,2480,426,1,9.91,0,0,2,1
123.07,2,1571,458,2,95.75,1,0,5,0
23.26,22,948,187,0,4.75,0,0,9,0
35.74,16,813,428,2,40.14,0,0,9,0
452.16,7,1945,482,2,16.27,0,1,10,0
55.11,22,643,410,1,68.88,0,0,7,0
82.88,3,1263,407,0,7.88,0,0,3,0
159.19,13,1092,329,3,54.68,0,1,3,0
109.47,20,2153,357,2,77.31,1,0,7,0
77.51,9,1295,8,1,95.01,0,0,3,0
96.06,0,363,53,1,69.85,0,0,10,0
737.61,3,1169,398,1,9.95,0,0,5,1
62.95,0,1895,199,0,8.85,0,0,5,0
81.54,16,1828,391,3,73.16,1,0,5,0
190.69,16,976,137,3,21.53,0,0,4,0
201.45,6,2980,259,2,44.72,0,0,4,0
218.55,22,2530,334,2,97.66,1,0,5,1
126.31,19,2487,401,1,81.99,0,0,6,0
